Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-09,91.68673282482601
5e-09,97.1652090010944
1e-08,100.2769850469741
5e-08,105.90435028332541
1e-07,107.4148778287248
5e-07,108.3405708004437
1e-06,108.4473983168229
5e-06,108.6644008207185
1e-05,109.63851061817492
5e-05,109.64132443676701
0.0001,108.6710472144855
0.0002,108.6710472144855
0.0003,110.6116016366346
0.0004,109.64132443676701
0.0005,110.51661150602072
0.0006,108.6710472144855
0.0007,110.9700220425678
0.0008,110.61858762340051
0.0009,108.88872890437891
0.001,110.89128402911881
0.0015,111.58187883650221
0.002,109.21275298419992
0.0025,111.05889943195982
0.003,108.6710472144855
0.0035,110.6116016366346
0.004,110.9626964403891
0.0045,109.179957615723
0.005,111.48194029952971
0.0055,112.55230159223642
0.006,109.64132443676701
0.0065,108.6710472144855
0.007,110.1424726130538
0.0075,108.70524948105151
0.008,110.6116016366346
0.0085,108.6710472144855
0.009,110.6116016366346
0.0095,110.6116016366346
0.01,110.8498532125611
0.015,110.6116016366346
0.02,111.61807017979591
0.025,110.92087750473901
0.03,110.8097322419055
0.035,109.7468420624163
0.04,111.58187883650221
0.045,111.01795371943982
0.05,112.04586539417821
0.055,111.4294968166572
0.06,108.6710472144855
0.065,109.7476668042807
0.07,109.64132443676701
0.075,111.1678615585194
0.08,109.64132443676701
0.085,109.62657620263651
0.09,112.55230159223642
0.095,111.16892886360961
0.1,112.2737835122016
0.2,111.9368062378455
0.3,112.40874908001841
0.4,111.2775513971703
0.5,112.50441841904401
0.6,110.66326890373621
0.7,112.75751521404631
0.8,109.02117174292292
0.9,110.6116016366346
1.0,110.8764387876291
